SIREN,Nom,Activité,Catégorie juridique,Date création
356000000,,,,1991-01-01
775672272,,,,1952-05-11
380129866,,,,1991-01-01
632041042,,,,1964-01-01
542076799,,,,1954-01-01
954509741,,,,1954-01-01
775676182,,,,1900-01-01
722003936,,,,1985-01-25
428268023,,,,1999-12-08
440283752,,,,2001-12-19
843082389,,,,2018-08-29
898270251,,,,2021-03-02
954507976,,,,1954-01-01
779838366,,,,1900-01-01
399973825,,,,1995-01-01
390703890,,,,1993-04-01
883285512,,,,2020-05-04
775544026,,,,1900-01-01
552081317,,,,1955-01-01
662025196,,,,1966-01-01
552120222,,,,1900-01-01
412280737,,,,1997-05-15
662042449,,,,1966-07-01
343262622,,,,1987-12-17
514801414,,,,2009-10-01
901859645,,,,2021-07-01
979253044,,,,2023-08-08
901859553,,,,2021-07-01
844149781,,,,2018-11-23
220100010,,,,1983-03-01
987770815,,,,2024-03-18
878459890,,,,2019-10-18
341091643,,,,1987-03-21
890326945,,,,2020-09-04
791931264,,,,2013-03-18
200060143,,,,2016-01-01
200053668,,,,2016-01-01
345130488,,,,1988-06-02
828160069,,,,2017-02-28
784939688,,,,1958-01-01
425050556,,,,1999-10-25
552049447,,,,1955-01-01
392686150,,,,1993-10-18
519796429,,,,2009-12-23
303789127,,,,1900-01-01
775693468,,,,1900-01-01
301571386,,,,1900-01-01
908454218,,,,2021-12-16
200070852,,,,2017-01-01
642005177,,,,1973-02-07
542107651,,,,1954-01-01
998823504,,,,1969-04-02
897492294,,,,2021-03-01
429955297,,,,2000-03-01
329338883,,,,1984-01-01
410034607,,,,1996-11-21
414819409,,,,1997-12-12
434004198,,,,2000-11-28
881291959,,,,2020-02-01
352860639,,,,1989-01-01
