nom_commune,code_commune,code_departement,code_region,latitude,longitude,population
L'Abergement-Clémenciat,1001,1,84,46.1517,4.9306,859
L'Abergement-de-Varey,1002,1,84,46.0071,5.4247,273
Ambérieu-en-Bugey,1004,1,84,45.9575,5.3706,15554
Ambérieux-en-Dombes,1005,1,84,45.9992,4.9119,1917
Ambléon,1006,1,84,45.7483,5.5928,114
Ambronay,1007,1,84,46.0099,5.3627,2828
Ambutrix,1008,1,84,45.9347,5.3359,764
Andert-et-Condon,1009,1,84,45.7841,5.6607,335
Anglefort,1010,1,84,45.9086,5.7948,1150
Apremont,1011,1,84,46.2045,5.6619,399
Aranc,1012,1,84,45.9972,5.514,329
Arandas,1013,1,84,45.8885,5.4982,140
Arbent,1014,1,84,46.2838,5.6879,3482
Arboys en Bugey,1015,1,84,45.7189,5.6404,688
Arbigny,1016,1,84,46.4808,4.9613,459
Argis,1017,1,84,45.9322,5.4819,420
Armix,1019,1,84,45.8523,5.5837,25
Ars-sur-Formans,1021,1,84,45.9904,4.8195,1513
Artemare,1022,1,84,45.8701,5.692,1141
Asnières-sur-Saône,1023,1,84,46.3859,4.882,77
Attignat,1024,1,84,46.2858,5.1823,3372
Bâgé-Dommartin,1025,1,84,46.3277,4.9704,4057
Bâgé-le-Châtel,1026,1,84,46.3081,4.9305,987
Balan,1027,1,84,45.8268,5.1076,2878
Baneins,1028,1,84,46.1117,4.9045,618
Beaupont,1029,1,84,46.4274,5.2634,717
Beauregard,1030,1,84,46.0012,4.7567,826
Bellignat,1031,1,84,46.2402,5.6371,3581
Béligneux,1032,1,84,45.8622,5.1415,3484
Valserhône,1033,1,84,46.1234,5.7944,16162
Belley,1034,1,84,45.743,5.6927,9270
Belleydoux,1035,1,84,46.2519,5.7816,306
Valromey-sur-Séran,1036,1,84,45.9236,5.6626,1350
Bénonces,1037,1,84,45.842,5.4834,311
Bény,1038,1,84,46.3189,5.2789,769
Béréziat,1040,1,84,46.3699,5.0431,481
Bettant,1041,1,84,45.9366,5.3648,762
Bey,1042,1,84,46.2182,4.844,290
Beynost,1043,1,84,45.8359,4.9964,4936
Billiat,1044,1,84,46.0778,5.7632,669
Birieux,1045,1,84,45.9509,5.0401,280
Biziat,1046,1,84,46.224,4.9393,897
Blyes,1047,1,84,45.8442,5.2515,1351
La Boisse,1049,1,84,45.8483,5.0262,3401
Boissey,1050,1,84,46.3723,4.9975,390
Bolozon,1051,1,84,46.1971,5.4701,99
Bouligneux,1052,1,84,46.0202,4.9957,323
Bourg-en-Bresse,1053,1,84,46.2027,5.2469,42065
Bourg-Saint-Christophe,1054,1,84,45.8842,5.1393,1540
Boyeux-Saint-Jérôme,1056,1,84,46.0356,5.4616,362
Boz,1057,1,84,46.4089,4.9166,509
Brégnier-Cordon,1058,1,84,45.6406,5.6174,812
Brénod,1060,1,84,46.0791,5.6116,547
Brens,1061,1,84,45.7163,5.69,1117
Bressolles,1062,1,84,45.8714,5.0984,1003
Brion,1063,1,84,46.1689,5.5477,591
Briord,1064,1,84,45.768,5.4832,1102
Buellas,1065,1,84,46.2116,5.1468,1884
La Burbanche,1066,1,84,45.8629,5.548,97
Ceignes,1067,1,84,46.1258,5.4957,263
